Col 1,UID,Name,Rec,DOB,Inf,Club,Based,Nat,Height,Weight,Age,Position,Transfer Value,Media Description,Rc Injury,Preferred Foot,Left Foot,Right Foot,Caps,AT Apps,AT Gls,AT Lge Apps,AT Lge Gls,Team,Yth Apps,Yth Gls,Acc,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat.1,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Vers,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Amb,Ada,Cons,Cont,Media Handling
189,2002078610,Raymond Smith,- - -,18/10/2005 (16 years old),Ama,RISE SC,U.S.A. (Frontier Division),USA,"5'11""",66 kg,16,ST (C),0$,Young striker,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,12,9,4,3,11,4,3,7,9,3,3,1,5,8,6,11,1,9,14,4,4,6,1,2,8,8,1,6,11,8,15,2,8,13,9,6,4,5,9,3,1,8,7,9,11,6,2,8,13,13,14,11,17,6,12,9,5,6,9,7,Level-headed
190,2002078609,José Monterroso,- - -,12/2/2006 (16 years old),Ama,RISE SC,U.S.A. (Frontier Division),GUA,"5'9""",62 kg,16,ST (C),0$,Promising striker,-,Either,Very Strong,Strong,0,-,-,-,-,,-,-,11,9,6,3,13,14,4,4,9,1,1,2,3,8,8,10,2,11,12,4,6,4,14,3,5,11,1,5,13,8,14,2,13,11,8,5,6,6,10,1,1,10,10,7,9,6,2,8,6,8,13,16,13,2,11,8,10,14,10,5,Volatile
191,2002078608,Julio César Ramírez,- - -,27/7/2005 (16 years old),Ama,RISE SC,U.S.A. (Frontier Division),USA,"5'8""",61 kg,16,M (RC),0$,Young midfielder,-,Either,Very Strong,Very Strong,0,-,-,-,-,,-,-,11,10,7,3,14,15,7,7,12,1,3,1,6,5,8,8,3,7,18,6,3,6,13,1,5,8,3,9,7,9,6,2,8,9,9,6,7,7,7,2,1,6,7,7,7,7,2,9,6,11,10,7,10,8,2,6,10,14,13,16,"Outspoken, Volatile"
192,2002078607,Georgie McPhilliamy,- - -,16/7/2006 (15 years old),Ama,RISE SC,U.S.A. (Frontier Division),USA,"5'10""",63 kg,15,M/AM (C),0$,Young midfielder,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,9,12,6,2,11,16,9,4,8,3,3,2,4,6,5,10,1,6,3,4,3,7,9,3,6,6,4,4,10,6,8,1,6,10,5,2,4,7,5,2,4,17,10,9,12,18,1,10,15,10,13,18,12,5,11,7,11,8,6,9,Unflappable
193,2002078606,Shachar Moyal,- - -,30/4/2005 (17 years old),Ctr,RISE SC,U.S.A. (Frontier Division),USA,"5'7""",60 kg,17,AM (LC),0$,Young attacking midfielder,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,8,15,8,2,7,11,4,3,10,1,4,1,6,4,10,8,1,8,14,6,3,6,11,2,6,5,3,6,12,6,8,3,7,11,9,7,5,5,5,2,2,16,7,6,10,8,1,11,7,10,8,13,11,4,11,17,10,2,7,10,Media-friendly
194,2002078605,Alan Barton,- - -,28/8/2005 (16 years old),Ctr,RISE SC,U.S.A. (Frontier Division),USA,"5'8""",59 kg,16,AM (RL),0$,Young winger,-,Either,Strong,Very Strong,0,-,-,-,-,,-,-,12,9,6,2,14,14,3,3,6,2,3,1,1,3,5,10,3,8,12,2,1,5,2,3,6,2,3,12,14,11,5,3,9,15,6,10,7,6,6,3,3,8,5,5,10,17,3,8,14,12,15,11,19,8,11,5,2,16,7,6,Level-headed
195,2002078604,Jim Daniels-Lancaster,- - -,9/9/2006 (15 years old),Ctr,RISE SC,U.S.A. (Frontier Division),USA,"6'0""",64 kg,15,M (RL),0$,Young winger,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,16,10,6,2,9,14,6,6,6,1,2,2,3,4,7,13,2,9,11,7,4,6,12,4,10,4,3,11,10,9,5,1,5,13,6,7,8,5,6,2,1,7,7,7,11,12,2,15,13,10,11,5,17,12,7,11,5,9,9,5,Media-friendly
196,2002078603,Kevin Hernández,- - -,15/8/2006 (15 years old),Ctr,RISE SC,U.S.A. (Frontier Division),USA,"5'6""",55 kg,15,M (RL),0$,Young winger,-,Left,Very Strong,Fairly Strong,0,-,-,-,-,,-,-,14,10,6,3,15,6,4,3,6,2,4,1,6,4,5,14,3,7,8,6,4,5,1,2,6,9,2,8,9,10,6,3,8,11,6,6,10,5,6,3,2,7,6,7,12,9,4,10,4,4,12,10,9,9,13,7,10,7,7,11,"Volatile, Media-friendly, Confrontational"
197,2002078602,Jeffrey Landa,- - -,2/9/2006 (15 years old),Ctr,RISE SC,U.S.A. (Frontier Division),USA,"5'7""",55 kg,15,AM (RL),0$,Promising winger,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,13,12,7,1,10,15,5,5,8,3,4,2,2,6,7,13,1,7,15,5,4,7,1,2,6,1,3,7,11,12,8,1,9,16,6,9,5,6,8,1,3,7,13,7,13,6,4,11,12,13,11,12,11,7,12,8,13,10,6,8,Level-headed
198,2002078601,Carlos Márquez,- - -,30/3/2005 (17 years old),Ctr,RISE SC,U.S.A. (Frontier Division),USA,"5'11""",72 kg,17,D (C),0$,Young center back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,9,10,6,3,12,10,14,8,10,1,2,4,8,3,6,10,3,6,13,9,4,4,4,2,13,16,3,6,5,9,5,2,5,9,8,4,6,9,9,2,1,16,14,8,10,13,2,14,7,11,8,6,11,12,4,7,11,7,14,15,Outspoken
199,2002078600,Luke Schantz,- - -,14/2/2005 (17 years old),Ctr,RISE SC,U.S.A. (Frontier Division),USA,"6'1""",73 kg,17,D (RLC),0$,Young center back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,12,10,5,3,8,11,10,7,12,1,3,3,8,4,7,13,1,2,14,7,2,5,3,2,11,7,1,1,5,8,4,3,3,14,11,7,5,8,5,2,3,8,14,7,13,13,2,11,13,10,14,15,11,4,13,7,12,6,14,5,Level-headed
200,2002078599,Leon Wadsworth,- - -,25/4/2005 (17 years old),Ctr,RISE SC,U.S.A. (Frontier Division),USA,"6'2""",75 kg,17,D (C),0$,Young center back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,13,10,2,1,5,15,16,6,9,3,3,1,9,3,5,11,2,6,11,10,2,5,4,2,11,7,4,3,5,6,3,2,2,9,8,5,4,8,6,2,2,9,12,6,9,12,3,12,9,9,11,3,12,3,5,8,10,6,9,15,Outspoken
201,2002078598,José Díaz,- - -,12/7/2006 (15 years old),Ctr,RISE SC,U.S.A. (Frontier Division),MEX,"5'5""",55 kg,15,D (R),0$,Promising full back,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,9,9,8,1,12,11,14,2,9,2,1,2,10,8,9,10,2,6,15,9,7,6,14,2,8,11,2,3,3,9,6,3,8,14,10,8,5,9,8,3,2,19,12,12,10,10,3,9,13,15,11,16,16,4,17,10,3,14,14,5,Level-headed
202,2002078597,Giovanni Crowe,- - -,30/1/2006 (16 years old),Ctr,RISE SC,U.S.A. (Frontier Division),USA,"5'9""",64 kg,16,D (L),0$,Young full back,-,Left,Very Strong,Fairly Strong,0,-,-,-,-,,-,-,9,13,6,1,13,9,12,8,8,4,1,3,9,4,10,10,2,4,15,10,6,3,5,4,9,9,2,3,8,8,7,3,5,18,13,12,8,10,10,2,3,16,15,11,11,12,2,11,13,13,13,7,11,13,8,14,20,8,8,12,Level-headed
203,2002078596,Willy Lucatero,- - -,19/9/2006 (15 years old),Ctr,RISE SC,U.S.A. (Frontier Division),USA,"5'11""",62 kg,15,GK,0$,Young goalkeeper,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,10,7,2,5,5,12,2,4,2,9,13,9,9,1,4,7,7,1,13,3,2,1,1,8,7,1,13,6,2,1,2,2,2,15,8,2,5,7,3,11,9,9,5,4,14,11,7,8,14,12,17,7,10,5,7,12,13,9,14,5,"Media-friendly, Reserved"
204,2002078595,Chad Nguyen,- - -,18/10/2006 (15 years old),Ctr,RISE SC,U.S.A. (Frontier Division),USA,"5'10""",66 kg,15,GK,0$,Promising goalkeeper,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,9,5,13,5,9,8,3,8,4,14,12,12,11,2,8,8,8,3,8,1,1,3,1,11,10,1,11,8,3,4,3,12,1,11,14,2,4,8,5,9,12,12,7,7,8,15,7,13,17,16,8,11,10,17,10,7,11,8,11,9,Media-friendly
205,2002078594,Abraham Cruz,- - -,3/7/2005 (16 years old),Ama,Orlando City Youth,U.S.A. (Florida Division),USA,"5'6""",59 kg,16,M (C),0$,Young midfielder,-,Either,Strong,Very Strong,0,-,-,-,-,,-,-,8,14,9,3,15,15,6,5,9,2,2,3,9,6,15,8,4,6,5,8,3,13,6,3,2,5,3,10,13,10,5,2,3,6,12,7,6,8,8,1,1,5,13,7,8,9,1,9,11,9,13,9,13,13,8,9,2,6,10,7,Level-headed
206,2002078593,Junior Chávez,- - -,15/5/2006 (16 years old),Ama,Orlando City Youth,U.S.A. (Florida Division),USA,"5'7""",61 kg,16,M (C),0$,Young midfielder,-,Right Only,Weak,Very Strong,0,-,-,-,-,,-,-,11,13,6,3,9,9,6,5,12,3,3,2,8,5,7,10,2,7,7,5,3,5,4,3,6,3,2,9,4,13,4,3,5,13,9,3,4,4,6,2,1,9,9,7,8,8,3,9,15,17,11,17,16,10,16,12,3,5,7,4,Unflappable
207,2002078592,Stuart Daniels,- - -,28/1/2005 (17 years old),Ama,Orlando City Youth,U.S.A. (Florida Division),USA,"6'0""",74 kg,17,D (C),0$,Enthusiastic center back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,8,16,7,1,12,18,9,8,11,3,1,1,9,6,7,7,1,6,12,7,6,4,2,1,12,7,2,3,4,7,8,3,7,14,10,6,3,8,7,4,1,19,16,9,7,14,3,11,5,10,13,12,18,7,13,7,5,8,16,7,Volatile
208,2002078591,Matt Lewis,- - -,14/1/2006 (16 years old),Ama,Orlando City Youth,U.S.A. (Florida Division),USA,"5'11""",66 kg,16,"AM (L), ST (C)",0$,Promising striker,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,15,14,6,2,10,9,6,5,9,3,2,1,6,3,13,13,2,11,9,3,5,7,3,2,12,9,2,10,9,8,10,1,10,4,8,11,8,7,7,3,2,8,7,4,12,11,1,9,17,17,9,14,13,10,17,11,4,20,12,10,Level-headed
209,2002078590,Matt Freyfeld,- - -,30/11/2006 (15 years old),Ama,Orlando City Youth,U.S.A. (Florida Division),USA,"5'10""",65 kg,15,ST (C),0$,Promising striker,-,Right,Weak,Very Strong,0,-,-,-,-,,-,-,8,8,9,1,9,8,3,11,9,3,2,1,8,8,11,9,4,10,12,5,4,8,14,2,9,14,3,10,16,10,9,2,10,12,11,8,7,9,9,3,2,11,15,11,10,13,1,10,17,16,13,12,15,6,11,15,4,11,8,4,Level-headed
210,2002078589,Joshua Miller,- - -,1/5/2005 (17 years old),Ama,Orlando City Youth,U.S.A. (Florida Division),USA,"5'10""",66 kg,17,"AM (L), ST (C)",0$,Young striker,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,13,14,9,2,13,9,4,5,9,3,2,1,6,6,11,13,4,12,11,2,3,7,6,1,9,8,3,9,12,8,11,1,11,11,8,8,5,6,8,1,2,6,7,7,11,5,2,12,11,13,15,7,6,10,7,10,16,11,11,7,Media-friendly
211,2002078588,Liam Davenport,- - -,10/5/2006 (16 years old),Ama,Orlando City Youth,U.S.A. (Florida Division),USA,"5'7""",62 kg,16,M/AM (C),0$,Promising midfielder,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,10,15,9,1,12,18,9,7,10,3,1,4,9,5,11,12,3,9,5,7,2,9,11,4,7,4,2,8,15,12,7,4,8,16,9,7,7,6,8,1,1,9,9,9,12,12,4,10,6,9,14,12,12,12,10,11,11,12,14,6,Volatile
212,2002078587,Juan Kaplan,- - -,23/8/2006 (15 years old),Ama,Orlando City Youth,U.S.A. (Florida Division),USA,"5'4""",55 kg,15,AM (C),0$,Promising attacking midfielder,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,9,5,12,1,15,8,6,5,6,3,3,1,7,8,10,10,1,13,8,6,5,8,1,2,4,4,2,11,14,11,16,3,11,5,13,6,9,8,10,2,2,9,9,9,10,7,3,12,10,13,11,7,14,15,9,8,3,11,14,6,Level-headed
213,2002078586,Jonathan Sherwood,- - -,10/3/2005 (17 years old),Ctr,Orlando City Youth,U.S.A. (Florida Division),USA,"5'7""",61 kg,17,M/AM (C),0$,Young midfielder,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,9,9,6,2,12,14,9,6,13,3,1,2,7,4,8,9,2,7,12,6,3,6,5,1,4,6,1,13,11,7,3,3,5,14,6,2,8,6,5,1,1,9,14,8,8,13,2,12,15,12,16,7,12,6,7,12,12,11,7,10,Level-headed
214,2002078585,Nicklas Söderberg,- - -,3/2/2006 (16 years old),Ctr,Orlando City Youth,U.S.A. (Florida Division),USA,"5'5""",55 kg,16,M/AM (R),0$,Young winger,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,14,12,5,4,10,16,1,3,7,3,2,2,1,2,5,13,4,8,13,1,4,2,2,2,2,2,2,2,10,10,5,2,6,12,5,5,3,4,5,4,1,2,10,6,9,11,2,13,12,11,10,10,6,4,6,8,15,7,15,10,Media-friendly
215,2002078584,Federico Rastelli,- - -,19/6/2006 (16 years old),Ctr,Orlando City Youth,U.S.A. (Florida Division),USA,"5'9""",62 kg,16,M (RL),0$,Young winger,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,13,11,6,2,14,16,4,6,9,3,2,1,5,4,8,12,1,13,11,5,3,5,4,2,7,2,1,5,9,9,7,1,9,14,7,9,6,5,9,3,3,9,8,8,10,10,3,10,13,11,14,12,11,11,10,15,11,9,6,5,Level-headed
216,2002078583,Victor Lorenzana,- - -,7/3/2006 (16 years old),Ctr,Orlando City Youth,U.S.A. (Florida Division),USA,"5'5""",55 kg,16,AM (L),0$,Young winger,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,15,10,8,3,13,15,5,4,7,3,3,3,3,6,8,13,2,10,10,4,9,7,14,2,6,6,2,8,16,8,9,4,7,10,8,8,5,7,8,2,2,5,6,8,12,9,4,12,8,13,11,3,8,7,3,5,12,16,14,17,Outspoken
217,2002078582,Michael Miljevic,- - -,22/3/2005 (17 years old),Ctr,Orlando City Youth,U.S.A. (Florida Division),USA,"6'1""",74 kg,17,M/AM (L),0$,Young winger,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,11,14,8,3,12,16,7,6,9,3,2,3,4,4,10,13,3,8,7,4,6,5,1,3,10,4,1,10,11,8,8,2,13,13,8,9,8,7,7,3,1,7,6,8,13,6,2,10,5,10,12,10,4,3,10,15,15,11,15,11,"Volatile, Media-friendly"
218,2002078581,Guillermo Nolly,- - -,20/3/2006 (16 years old),Ctr,Orlando City Youth,U.S.A. (Florida Division),USA,"6'0""",71 kg,16,D (RC),0$,Young center back,-,Right,Weak,Very Strong,0,-,-,-,-,,-,-,9,6,5,1,6,7,10,7,7,1,2,3,8,6,9,9,1,4,12,7,5,2,5,1,10,8,3,2,1,8,3,1,5,10,15,7,3,7,7,2,1,13,12,9,9,13,2,8,19,19,18,10,17,8,12,7,14,10,7,2,Reserved
219,2002078580,Kim Hälldahl,- - -,28/7/2006 (15 years old),Ctr,Orlando City Youth,U.S.A. (Florida Division),USA,"6'2""",71 kg,15,D (LC),0$,Promising center back,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,9,14,4,3,7,11,9,8,13,3,1,1,9,5,12,9,1,7,13,10,5,6,13,3,13,8,1,6,5,8,5,3,6,3,13,8,4,11,6,1,2,18,13,7,10,11,1,10,10,12,12,7,11,10,6,8,6,1,7,7,Level-headed
220,2002078579,Brian Simmonds,- - -,9/11/2006 (15 years old),Ctr,Orlando City Youth,U.S.A. (Florida Division),USA,"6'0""",67 kg,15,D (LC),0$,Young center back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,14,11,5,2,11,15,9,7,12,2,2,3,7,4,6,9,3,6,10,7,4,2,8,2,12,5,3,3,4,6,5,3,4,3,10,8,5,8,6,1,3,17,6,7,12,12,3,10,14,12,11,8,10,15,7,14,3,14,8,7,Media-friendly
221,2002078578,Julian Ramírez,- - -,7/11/2005 (16 years old),Ctr,Orlando City Youth,U.S.A. (Florida Division),USA,"5'8""",63 kg,16,D (R),0$,Enthusiastic full back,-,Either,Very Strong,Very Strong,0,-,-,-,-,,-,-,8,16,8,3,15,15,11,7,11,3,3,2,9,7,8,8,1,5,9,9,5,6,6,1,10,7,1,8,2,10,3,3,5,12,10,8,6,9,8,1,2,11,14,8,8,12,2,12,4,5,12,14,5,9,17,14,16,7,6,17,"Outspoken, Volatile, Confrontational"
222,2002078577,Daniel Chacón,- - -,5/9/2006 (15 years old),Ctr,Orlando City Youth,U.S.A. (Florida Division),GUA,"6'0""",67 kg,15,D (RL),0$,Promising full back,-,Left,Very Strong,Fairly Strong,0,-,-,-,-,,-,-,7,10,5,3,8,7,15,8,10,2,1,1,9,3,13,10,4,5,16,9,7,4,6,1,13,9,1,8,8,8,6,3,6,17,11,11,10,9,9,2,2,17,7,10,11,10,3,13,1,8,12,14,13,3,12,7,13,14,8,9,"Media-friendly, Short-tempered"
223,2002078576,Georges Siméus,- - -,12/2/2005 (17 years old),Ctr,Orlando City Youth,U.S.A. (Florida Division),HAI,"5'10""",67 kg,17,GK,0$,Young goalkeeper,-,Right,Weak,Very Strong,0,-,-,-,-,,-,-,9,7,9,5,3,13,1,4,2,7,14,8,8,2,5,10,6,1,15,3,2,1,2,10,9,1,10,4,1,2,3,7,1,12,9,1,1,10,2,9,7,10,10,7,6,9,8,6,17,15,17,10,16,9,15,13,11,9,13,3,Reserved
224,2002078575,César Castañeda,- - -,17/4/2006 (16 years old),Ctr,Orlando City Youth,U.S.A. (Florida Division),USA,"6'0""",70 kg,16,GK,0$,Young goalkeeper,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,12,7,7,6,7,7,2,7,5,10,12,9,8,3,8,8,7,1,12,2,1,1,10,7,8,1,8,8,1,2,3,2,1,5,13,3,3,9,4,8,9,8,6,9,13,8,8,8,10,15,11,13,13,16,13,7,4,11,6,6,Level-headed
225,2002078574,Gerardo López,- - -,26/6/2005 (17 years old),Ama,Murrieta Surf,U.S.A. (Southwest Division),USA,"6'0""",72 kg,17,ST (C),0$,Young striker,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,12,8,6,1,14,13,4,7,7,2,1,3,3,9,6,14,1,10,12,5,1,6,6,1,11,6,2,10,14,11,8,2,14,7,8,7,12,6,11,2,2,7,5,5,15,9,3,9,11,14,4,12,10,6,12,18,10,8,7,13,Media-friendly
226,2002078573,Shaun Flaherty,- - -,1/4/2006 (16 years old),Ama,Murrieta Surf,U.S.A. (Southwest Division),USA,"6'0""",72 kg,16,D (R),0$,Young full back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,10,6,8,2,7,10,12,7,8,2,1,3,10,6,9,8,1,7,6,8,8,5,4,1,10,8,3,3,7,10,4,4,6,10,13,9,6,6,9,2,1,14,7,12,8,11,2,11,11,11,9,11,11,7,12,7,10,12,5,8,Media-friendly
227,2002078572,Gibson Reynish,- - -,22/10/2006 (15 years old),Ama,Murrieta Surf,U.S.A. (Southwest Division),USA,"5'9""",60 kg,15,DM,0$,Hard working midfielder,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,8,15,9,2,11,16,5,6,11,3,2,1,9,6,13,8,1,7,12,8,5,8,2,1,9,5,3,5,2,12,6,3,7,13,11,6,6,7,12,3,3,7,8,7,8,13,2,9,17,9,18,10,12,5,10,11,14,16,9,8,Level-headed
228,2002078571,Peter Mulligan,- - -,5/2/2006 (16 years old),Ama,Murrieta Surf,U.S.A. (Southwest Division),USA,"6'0""",74 kg,16,ST (C),0$,Promising striker,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,9,16,8,2,15,14,3,12,11,2,3,2,7,9,8,7,2,8,14,4,7,5,14,3,10,11,1,6,14,11,14,1,13,4,8,10,7,7,8,1,3,14,12,10,6,9,3,11,11,17,12,12,16,7,15,12,6,8,4,4,Level-headed
229,2002078570,Jake Ramsey,- - -,11/7/2005 (16 years old),Ama,Murrieta Surf,U.S.A. (Southwest Division),USA,"5'10""",66 kg,16,"AM (C), ST (C)",0$,Promising striker,-,Left,Very Strong,Fairly Strong,0,-,-,-,-,,-,-,12,8,8,4,14,7,4,6,10,2,1,2,5,5,9,13,1,10,10,3,5,7,8,3,8,6,1,12,14,9,10,1,7,10,7,6,9,6,9,2,3,11,6,9,13,9,1,11,7,10,11,5,8,13,6,6,9,9,10,19,Outspoken
230,2002078569,Shaun Velázquez,- - -,15/8/2005 (16 years old),Ama,Murrieta Surf,U.S.A. (Southwest Division),USA,"6'0""",68 kg,16,"AM (C), ST (C)",0$,Young striker,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,8,11,11,2,9,16,6,5,7,3,1,4,8,5,12,10,1,10,13,5,4,7,10,2,13,6,2,6,9,11,7,1,12,16,13,7,5,5,5,3,2,9,6,8,10,8,2,7,15,18,13,17,17,11,18,8,2,10,7,6,Unflappable
231,2002078568,Luis Santana,- - -,28/6/2006 (15 years old),Ama,Murrieta Surf,U.S.A. (Southwest Division),USA,"5'6""",58 kg,15,AM (C),0$,Promising attacking midfielder,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,7,11,12,2,16,8,7,6,11,2,2,1,8,5,14,8,3,12,7,6,6,9,2,1,7,8,3,14,14,16,8,2,13,8,11,9,12,7,10,1,4,10,7,9,9,11,3,11,4,8,11,11,10,10,12,8,11,14,10,8,"Volatile, Media-friendly"
232,2002078567,Carlos Márquez,- - -,10/12/2005 (16 years old),Ama,Murrieta Surf,U.S.A. (Southwest Division),USA,"5'10""",66 kg,16,DM,0$,Young midfielder,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,8,12,9,3,14,10,8,8,10,2,1,2,12,4,9,8,1,8,12,7,6,7,5,3,12,7,2,5,3,9,5,2,7,4,6,5,4,8,9,3,1,4,8,7,8,10,1,14,14,11,11,8,12,9,9,16,4,5,5,9,Media-friendly
233,2002078566,Luis Hurtado,- - -,12/11/2005 (16 years old),Ctr,Murrieta Surf,U.S.A. (Southwest Division),USA,"5'10""",64 kg,16,M/AM (C),0$,Young midfielder,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,10,9,9,1,13,9,7,5,6,2,2,3,6,6,11,11,2,8,14,5,6,8,7,3,7,4,1,11,12,15,8,2,8,15,14,5,6,5,9,1,3,5,14,8,12,14,1,11,17,18,11,15,17,9,13,7,5,19,10,5,Unflappable
234,2002078565,David Martin,- - -,9/3/2006 (16 years old),Ctr,Murrieta Surf,U.S.A. (Southwest Division),USA,"5'8""",61 kg,16,M/AM (R),0$,Promising winger,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,14,15,11,3,10,12,7,7,10,1,3,3,6,6,10,11,3,10,13,5,2,8,11,1,8,9,3,9,17,8,10,1,10,3,9,13,9,5,8,1,3,10,7,9,10,10,1,11,14,16,11,16,12,8,16,9,3,13,11,13,Level-headed
235,2002078564,Michael Howe,- - -,25/8/2005 (16 years old),Ctr,Murrieta Surf,U.S.A. (Southwest Division),USA,"5'2""",55 kg,16,AM (R),0$,Diminutive winger,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,13,10,6,2,13,15,4,2,7,1,1,2,6,6,7,13,1,11,11,3,6,7,1,1,1,7,1,9,16,12,11,1,11,5,7,10,6,7,8,1,1,7,13,8,15,15,1,9,13,11,14,8,11,16,6,4,2,8,7,7,Level-headed
236,2002078563,Jesús Ibarra,- - -,16/4/2006 (16 years old),Ctr,Murrieta Surf,U.S.A. (Southwest Division),USA,"5'9""",62 kg,16,M/AM (L),0$,Young winger,-,Right,Weak,Very Strong,0,-,-,-,-,,-,-,14,9,6,1,12,7,6,4,5,1,1,2,3,2,9,13,3,11,7,4,7,9,12,3,9,4,3,5,11,9,8,2,9,13,7,9,5,5,8,1,1,6,7,5,11,11,1,9,12,13,11,11,5,19,14,17,18,9,14,15,Outspoken
237,2002078562,Manolis Marathonitis,- - -,2/10/2005 (16 years old),Ctr,Murrieta Surf,U.S.A. (Southwest Division),USA,"5'8""",59 kg,16,M (L),0$,Young winger,-,Left,Very Strong,Fairly Strong,0,-,-,-,-,,-,-,15,12,6,1,10,8,4,3,7,2,3,1,4,4,6,11,1,9,12,5,4,3,6,1,5,1,3,8,7,6,6,4,9,12,5,12,10,5,5,3,1,6,5,6,11,14,3,13,18,11,16,9,12,8,10,8,14,6,9,8,Level-headed
238,2002078561,Carlos Phillips,- - -,23/9/2006 (15 years old),Ctr,Murrieta Surf,U.S.A. (Southwest Division),USA,"5'11""",67 kg,15,D (C),0$,Young center back,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,9,11,5,3,11,9,12,8,12,2,2,1,8,5,9,8,3,5,10,8,7,4,6,1,14,8,1,3,5,9,4,2,4,13,10,7,6,9,10,2,2,14,16,8,10,8,3,10,17,3,11,15,9,15,14,12,15,14,8,4,"Unflappable, Media-friendly"
239,2002078560,Mark Barton,- - -,13/6/2006 (16 years old),Ctr,Murrieta Surf,U.S.A. (Southwest Division),USA,"5'10""",64 kg,16,D (C),0$,Young center back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,10,9,8,2,10,8,13,7,8,1,2,2,9,6,8,10,3,9,16,9,5,6,8,2,10,10,1,4,4,7,6,3,6,19,9,6,8,10,11,1,2,17,16,9,8,12,1,9,13,14,15,11,13,9,11,10,10,7,7,7,Level-headed
240,2002078559,Samuel Hursit,- - -,29/12/2005 (16 years old),Ctr,Murrieta Surf,U.S.A. (Southwest Division),USA,"5'9""",63 kg,16,D (C),0$,Young center back,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,7,11,5,1,9,8,14,5,9,1,2,1,9,5,8,10,3,6,10,9,6,8,12,1,12,9,1,6,7,8,3,2,6,11,9,6,4,8,7,3,2,18,16,12,10,13,3,14,16,11,17,9,11,3,7,11,11,5,8,9,Level-headed
241,2002078558,Ryan Rosado,- - -,19/3/2005 (17 years old),Ctr,Murrieta Surf,U.S.A. (Southwest Division),USA,"5'6""",62 kg,17,D (RL),0$,Young full back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,6,9,7,2,15,14,10,7,9,2,1,2,9,5,7,7,1,5,15,7,5,6,12,1,7,11,1,2,8,12,4,1,7,10,15,10,5,10,8,2,3,17,6,7,7,13,1,8,8,9,12,4,8,8,2,5,13,8,8,17,Outspoken
242,2002078557,Tyler Ebert,- - -,29/7/2005 (16 years old),Ctr,Murrieta Surf,U.S.A. (Southwest Division),USA,"5'5""",58 kg,16,D (L),0$,Promising full back,-,Left,Very Strong,Fairly Strong,0,-,-,-,-,,-,-,8,16,10,1,14,13,15,8,11,1,2,1,9,9,10,9,2,7,12,10,8,5,7,3,6,8,1,5,5,9,7,3,6,11,11,11,8,10,8,1,2,13,9,9,10,14,3,15,13,11,14,6,4,12,7,16,18,11,11,7,Media-friendly
